ingredient,count,used %,effects,main effect
eriobotrya-japonica-fruit-leaf-extract,12,0.02,[''],
poria-cocos-polysaccharide,12,0.02,[''],
rosa-eglantaria-seed-oil,12,0.02,[''],
peg-5-glyceryl-triisostearate,12,0.02,"['emollient', 'emulsifying']",emollient
benincasa-cerifera-fruit-extract,12,0.02,[''],
oleth-2,12,0.02,"['emulsifying', 'surfactant/cleansing']",emulsifying
polyglyceryl-6-pentaoleate,12,0.02,['emulsifying'],emulsifying
hydrolyzed-roe,12,0.02,[''],
sesamum-indicum-oil-unsaponifiables,12,0.02,['emollient'],emollient
polyperfluoroethoxymethoxy-difluoroethyl-peg-phosphate,12,0.02,[''],
shea-butter-cetyl-esters,12,0.02,[''],
cistus-ladaniferus-resin,12,0.02,[''],
peg-80-hydrogenated-castor-oil,12,0.02,"['emulsifying', 'surfactant/cleansing']",emulsifying
tulipa-gesneriana-flower-extract,12,0.02,[''],
actinidia-chinensis-seed,12,0.02,"['abrasive/scrub', 'emollient']",abrasive/scrub
sr-spider-polypeptide-1,12,0.02,[''],
polyglyceryl-10-mono-dioleate,12,0.02,[''],
olivine-extract,12,0.02,[''],
cicer-arietinum-seed-extract,12,0.02,[''],
prunus-spinosa-fruit-extract,12,0.02,[''],
mentha-arvensis-herb-oil,12,0.02,['perfuming'],perfuming
oxidized-glutathione,12,0.02,['emollient'],emollient
physalis-pubescens-fruit-juice,12,0.02,[''],
abies-sibirica-needle-oil,12,0.02,['perfuming'],perfuming
epilobium-angustifolium-leaf-extract,12,0.02,[''],
machilus-thunbergii-bark-extract,12,0.02,[''],
myristoyl-hexapeptide-16,12,0.02,['cell-communicating ingredient'],cell-communicating ingredient
isostearyl-sebacate,12,0.02,[''],
tripeptide-32,12,0.02,[''],
fuscoporia-obliqua-extract,12,0.02,[''],
poloxamer-101,12,0.02,"['emulsifying', 'surfactant/cleansing']",emulsifying
thymus-vulgaris-leaf-water,12,0.02,[''],
myristoyl-pentapeptide-11,12,0.02,[''],
polyisoprene,12,0.02,['viscosity controlling'],viscosity controlling
polysilicone-8,12,0.02,[''],
c12-14-pareth-7,12,0.02,"['emulsifying', 'surfactant/cleansing']",emulsifying
cnidium-officinale-root-water,12,0.02,[''],
brassica-oleracea-italica-seed-extract,12,0.02,[''],
pyrola-incarnata-extract,12,0.02,[''],
thiotaurine,12,0.02,['antioxidant'],antioxidant
lactobacillus-algae-extract-ferment,12,0.02,[''],
dryopteris-filix-mas-root-extract,12,0.02,[''],
elastin-amino-acids,12,0.02,[''],
spilanthes-acmella-extract,12,0.02,[''],
dasiphora-fruticosa-extract,12,0.02,[''],
agrostis-sibirica-extract,12,0.02,[''],
lilium-tigrinum-flower-leaf-stem-extract,12,0.02,[''],
polyglyceryl-3-palmitate,11,0.01,"['emollient', 'emulsifying']",emollient
kinetin,11,0.01,[''],
titanium-titanium-dioxide,11,0.01,['colorant'],colorant
dunaliella-bardawil-extract,11,0.01,['moisturizer/humectant'],moisturizer/humectant
phragmites-karka-extract,11,0.01,[''],
saccharomyces-rice-bran-ferment,11,0.01,['moisturizer/humectant'],moisturizer/humectant
methyl-hydroxyethylcellulose,11,0.01,['viscosity controlling'],viscosity controlling
nephelium-lappaceum-branch-fruit-leaf-extract,11,0.01,[''],
lavandula-angustifolia-flower-powder,11,0.01,[''],
prunus-amygdalus-dulcis-extract,11,0.01,[''],
lactobacillus-nelumbo-nucifera-seed-ferment-filtrate,11,0.01,['skin brightening'],skin brightening
trilaurin,11,0.01,['viscosity controlling'],viscosity controlling
sambucus-nigra-flower-water,11,0.01,[''],
behenyl-olivate,11,0.01,['viscosity controlling'],viscosity controlling
caprylyl-2-glyceryl-ascorbate,11,0.01,"['antioxidant', 'moisturizer/humectant']",antioxidant
sodium-hypochlorite,11,0.01,[''],
echinacea-angustifolia-meristem-cell-culture,11,0.01,[''],
laminaria-digitata-powder,11,0.01,[''],
agave-tequilana-stem-extract,11,0.01,[''],
canarium-commune-gum-oil,11,0.01,[''],
deoxyphytantriyl-palmitamide-mea,11,0.01,[''],
pyrus-malus-flower-extract,11,0.01,[''],
arnica-cordifolia-extract,11,0.01,[''],
citrus-aurantium-flower-extract,11,0.01,['perfuming'],perfuming
sodium-alpha-olefin-sulfonate,11,0.01,[''],
copaifera-officinalis-oil,11,0.01,[''],
rubus-ellipticus-root-extract,11,0.01,['moisturizer/humectant'],moisturizer/humectant
schizosaccharomyces-ferment-filtrate,11,0.01,['moisturizer/humectant'],moisturizer/humectant
sodium-stearoxy-pg-hydroxyethylcellulose-sulfonate,11,0.01,['viscosity controlling'],viscosity controlling
potassium-cocoyl-hydrolyzed-collagen,11,0.01,['surfactant/cleansing'],surfactant/cleansing
sorbitan,11,0.01,[''],
lauroyl-sarcosine,11,0.01,['surfactant/cleansing'],surfactant/cleansing
oyster-extract,11,0.01,[''],
punica-granatum-seed-cell-culture-lysate,11,0.01,[''],
aloe-yohjyu-matsu-ekisu,11,0.01,"['emollient', 'moisturizer/humectant']",emollient
nacre-powder,11,0.01,['abrasive/scrub'],abrasive/scrub
peg-ppg-8-3-diisostearate,11,0.01,"['emulsifying', 'surfactant/cleansing']",emulsifying
lysine-thiazolidine-carboxylate,11,0.01,['surfactant/cleansing'],surfactant/cleansing
bis-peg-ppg-20-20-dimethicone,11,0.01,"['emollient', 'emulsifying', 'surfactant/cleansing']",emollient
melissa-officinalis-leaf-water,11,0.01,[''],
rubus-villosus-fruit-extract,11,0.01,[''],
cocodimonium-hydroxypropyl-silk-amino-acids,11,0.01,[''],
malus-sylvestris-flower-extract,11,0.01,['antioxidant'],antioxidant
helichrysum-italicum-flower-extract,11,0.01,['perfuming'],perfuming
prunus-virginiana-bark-extract,11,0.01,[''],
nephelium-lappaceum-leaf-extract,11,0.01,[''],
pyridoxine-dipalmitate,11,0.01,[''],
acacia-farnesiana-flower-extract,11,0.01,['perfuming'],perfuming
psilanthus-bengalensis-leaf-cell-culture-extract,11,0.01,[''],
pistacia-lentiscus-gum-oil,11,0.01,"['antimicrobial/antibacterial', 'perfuming']",antimicrobial/antibacterial
juniper-berry-oil,11,0.01,[''],
ppg-6,11,0.01,['solvent'],solvent
peg-100-hydrogenated-castor-oil,11,0.01,"['emulsifying', 'surfactant/cleansing']",emulsifying
skeletonema-costatum-extract,11,0.01,[''],
cymbopogon-martini-herb-oil,11,0.01,['perfuming'],perfuming
curculigo-orchioides-root-extract,11,0.01,['soothing'],soothing
ppg-6-decyltetradeceth-20,11,0.01,"['emulsifying', 'surfactant/cleansing']",emulsifying
peg-7-dimethicone,11,0.01,[''],
benzisothiazolinone,11,0.01,['antimicrobial/antibacterial'],antimicrobial/antibacterial
juniperus-virginiana-wood-extract,11,0.01,['perfuming'],perfuming
silica-cetyl-silylate,11,0.01,['viscosity controlling'],viscosity controlling
grevillea-speciosa-flower-extract,11,0.01,[''],
perfluorononyl-dimethicone,11,0.01,[''],
hydroxytyrosol,11,0.01,['skin brightening'],skin brightening
sodium-malate,11,0.01,['moisturizer/humectant'],moisturizer/humectant
ceteareth-23,11,0.01,"['surfactant/cleansing', 'emulsifying']",surfactant/cleansing
potassium-hydrolyzed-polygamma-glutamate,11,0.01,[''],
octyldecanol,11,0.01,['emollient'],emollient
origanum-vulgare-oil,11,0.01,[''],
polyglyceryl-10-caprylate,11,0.01,['emulsifying'],emulsifying
xanthium-strumarium-fruit-extract,11,0.01,[''],
styrene,11,0.01,['perfuming'],perfuming
peg-8-cocoate,11,0.01,[''],
borago-officinalis-seed-extract,11,0.01,[''],
polyglyceryl-10-pentaoleate,11,0.01,['emulsifying'],emulsifying
oleoyl-dipeptide-15,11,0.01,[''],
oleoyl-tetrapeptide-31,11,0.01,['antioxidant'],antioxidant
dextran-sulfate,11,0.01,[''],
aquaphilus-dolomiae-extract,11,0.01,[''],
ceteth-15,11,0.01,"['emulsifying', 'surfactant/cleansing']",emulsifying
padina-pavonica-extract,11,0.01,[''],
soymilk,11,0.01,[''],
brassica-glycerides,11,0.01,['emollient'],emollient
sorghum-bicolor-leaf-stem-extract,11,0.01,[''],
caprylic-capric-glycerides-polyglycerin-10-esters,11,0.01,[''],
coconut-oil-glycereth-8-esters,11,0.01,"['surfactant/cleansing', 'surfactant/cleansing']",surfactant/cleansing
psoralea-corylifolia-seed-extract,11,0.01,[''],
viola-odorata-flower-extract,11,0.01,[''],
bacillus-rice-bran-extract-soybean-extract-ferment-filtrate,11,0.01,"['antioxidant', 'emollient', 'moisturizer/humectant']",antioxidant
sodium-laureth-11-carboxylate,11,0.01,['surfactant/cleansing'],surfactant/cleansing
polyglyceryl-5-polyricinoleate,11,0.01,['emulsifying'],emulsifying
saccharomyces-calcium-ferment,11,0.01,[''],
lonicera-japonica-leaf-extract,11,0.01,[''],
hydrogenated-castor-oil-stearate,11,0.01,['viscosity controlling'],viscosity controlling
vernonia-appendiculata-leaf-extract,11,0.01,[''],
dictyopteris-polypodioides-extract,11,0.01,['emollient'],emollient
citrus-jabara-peel-extract,11,0.01,[''],
schizosaccharomyces-pombe-extract,11,0.01,[''],
lauryl-alcohol-diphosphonic-acid,11,0.01,[''],
acetyl-carboxymethyl-cocoyl-glycine,11,0.01,['chelating'],chelating
pentaerythrityl-adipate-caprate-caprylate-heptanoate,11,0.01,"['emollient', 'viscosity controlling']",emollient
polygala-tenuifolia-root-extract,11,0.01,[''],
polyquaternium-43,11,0.01,[''],
caproic-acid,11,0.01,"['surfactant/cleansing', 'emulsifying', 'perfuming']",surfactant/cleansing
peg-10-olive-glycerides,11,0.01,['emulsifying'],emulsifying
polygonatum-multiflorum-rhizome-root-extract,11,0.01,[''],
peg-15-cocopolyamine,11,0.01,['emulsifying'],emulsifying
cyperus-esculentus-tuber-extract,11,0.01,[''],
hydrolyzed-grape-fruit,11,0.01,[''],
disodium-ricinoleamido-mea-sulfosuccinate,11,0.01,['surfactant/cleansing'],surfactant/cleansing
juniperus-oxycedrus-wood-oil,11,0.01,['perfuming'],perfuming
cannabis-sativa-leaf-extract,11,0.01,['emollient'],emollient
pseudozyma-epicola-camellia-sinensis-seed-oil-ferment-extract-filtrate,11,0.01,['moisturizer/humectant'],moisturizer/humectant
peg-30-lanolin,11,0.01,"['emulsifying', 'surfactant/cleansing']",emulsifying
aframomum-melegueta-seed-extract,11,0.01,[''],
juniperus-chinensis-xylem-extract,11,0.01,[''],
octadecane,11,0.01,"['emollient', 'perfuming', 'solvent']",emollient
chamomilla-recutita-flower-leaf-stem-extract,11,0.01,[''],
panax-quinquefolius-root-extract,11,0.01,[''],
malachite,11,0.01,[''],
panax-ginseng-flower-extract,11,0.01,['antioxidant'],antioxidant
arisaema-amurense-extract,11,0.01,[''],
platonia-insignis-seed-butter,11,0.01,"['emollient', 'moisturizer/humectant']",emollient
methylheptyl-laurate,11,0.01,['emollient'],emollient
zein,11,0.01,[''],
polyester-37,11,0.01,[''],
ardisia-crispa-extract,11,0.01,[''],
bacillus-folic-acid-ferment-extract,11,0.01,[''],
manilkara-multinervis-leaf-extract,11,0.01,[''],
fragaria-vesca-seed,11,0.01,[''],
hydrolyzed-fibroin,11,0.01,[''],
hydrolyzed-lupine-seed-extract,11,0.01,[''],
rubus-fruticosus-juice,11,0.01,[''],
saccharomyces-manganese-ferment,11,0.01,[''],
lycopodium-clavatum-extract,11,0.01,[''],
iris-germanica-root-extract,11,0.01,[''],
silicon,11,0.01,['abrasive/scrub'],abrasive/scrub
carica-papaya-fruit,11,0.01,[''],
citronellyl-acetate,11,0.01,[''],
peg-20-hydrogenated-castor-oil,11,0.01,"['emulsifying', 'surfactant/cleansing']",emulsifying
mentha-piperita-water,11,0.01,[''],
aloe-barbadensis-callus-culture-extract,11,0.01,['antioxidant'],antioxidant
triglyceride,11,0.01,[''],
amylcinnamyl-alcohol,11,0.01,['perfuming'],perfuming
calcium-sodium-phosphosilicate,11,0.01,[''],
panax-ginseng-seed-oil,11,0.01,['emollient'],emollient
disodium-undecylenamido-mea-sulfosuccinate,11,0.01,['surfactant/cleansing'],surfactant/cleansing
quercus-mongolia-leaf-extract,11,0.01,[''],
behenoyl-pg-trimonium-chloride,11,0.01,[''],
astragalus-membranaceus-extract,11,0.01,['antioxidant'],antioxidant
laureth-1-phosphate,11,0.01,['surfactant/cleansing'],surfactant/cleansing
voandzeia-subterranea-seed-extract,11,0.01,[''],
acacia-decurrens-extract,11,0.01,[''],
c12-18-acid-triglyceride,11,0.01,"['emollient', 'emulsifying', 'solvent', 'viscosity controlling']",emollient
diammonium-citrate,11,0.01,"['buffering', 'chelating']",buffering
petroselinum-crispum-extract,11,0.01,[''],
panax-ginseng-root,11,0.01,['emollient'],emollient
hydrolyzed-egg-shell-membrane,11,0.01,['moisturizer/humectant'],moisturizer/humectant
dilinoleic-acid-butanediol-copolymer,11,0.01,[''],
linoleamidopropyl-pg-dimonium-chloride-phosphate-dimethicone,11,0.01,[''],
platinum,11,0.01,"['antimicrobial/antibacterial', 'antioxidant']",antimicrobial/antibacterial
silk-protein,11,0.01,[''],
hydrolyzed-placental-extract,11,0.01,[''],
phthalic-anhydride-trimellitic-anhydride-glycols-copolymer,11,0.01,['viscosity controlling'],viscosity controlling
cyclamen-aldehyde,11,0.01,[''],
sodium-polymethacrylate,11,0.01,['viscosity controlling'],viscosity controlling
nicotiana-benthamiana-hexapeptide-40-sh-polypeptide-76,11,0.01,[''],
sodium-butyroyl-hyaluronate,11,0.01,['moisturizer/humectant'],moisturizer/humectant
brassica-napus-sprout-extract,11,0.01,['moisturizer/humectant'],moisturizer/humectant
terminalia-arjuna-bark-extract,11,0.01,[''],
thymol-trimethoxycinnamate,11,0.01,['antioxidant'],antioxidant
methylglucamine,11,0.01,[''],
luffa-cylindrica-fruit,11,0.01,['abrasive/scrub'],abrasive/scrub
cymbopogon-martini-herb-extract,11,0.01,['perfuming'],perfuming
vaccinium-vitis-idaea-fruit-juice,11,0.01,[''],
cutibacterium-granulosum-ferment-extract-filtrate,11,0.01,[''],
c4-24-alkyl-dimethicone-divinyldimethicone-crosspolymer,11,0.01,['viscosity controlling'],viscosity controlling
acetylphytosphingosine,11,0.01,[''],
triticum-vulgare-flour-extract,11,0.01,[''],
vaccinium-vulcanorum-fruit-extract,11,0.01,[''],
sarcodon-aspratus-extract,11,0.01,['antioxidant'],antioxidant
bougainvillea-glabra-leaf-cell-extract,11,0.01,['antioxidant'],antioxidant
nicotiana-benthamiana-sh-polypeptide-7,11,0.01,[''],
borage-seed-oil-aminopropanediol-amides,11,0.01,[''],
hydrolyzed-beeswax,11,0.01,"['emulsifying', 'surfactant/cleansing']",emulsifying
daucus-carota-sativa-root,10,0.01,[''],
aspergillus-saccharomyces-barley-seed-ferment-extract,10,0.01,[''],
panax-notoginseng-root-extract,10,0.01,['moisturizer/humectant'],moisturizer/humectant
ceramide-ag,10,0.01,['moisturizer/humectant'],moisturizer/humectant
tanacetum-vulgare-extract,10,0.01,[''],
arctium-lappa-fruit-extract,10,0.01,['antioxidant'],antioxidant
artemisia-capillaris-leaf-extract,10,0.01,[''],
sodium-metasilicate,10,0.01,"['buffering', 'chelating']",buffering
peg-22-dodecyl-glycol-copolymer,10,0.01,['emulsifying'],emulsifying
avena-sativa-sprout-oil,10,0.01,[''],
apricot-kernel-oil-polyglyceryl-4-esters,10,0.01,"['emollient', 'emulsifying', 'surfactant/cleansing']",emollient
bertholletia-excelsa-seed-extract,10,0.01,[''],
pelargonium-graveolens-flower-leaf-stem-water,10,0.01,['perfuming'],perfuming
triticum-aestivum-germ-oil,10,0.01,['emollient'],emollient
sodium-laureth-13-carboxylate,10,0.01,"['surfactant/cleansing', 'emulsifying']",surfactant/cleansing
peg-23-glyceryl-distearate,10,0.01,['emollient'],emollient
preservative,10,0.01,[''],
hamamelis-virginiana-bark-extract,10,0.01,[''],
citrus-limon-peel,10,0.01,[''],
symphytum-officinale-callus-culture-extract,10,0.01,[''],
stearyl-dihydroxypropyldimonium-oligosaccharides,10,0.01,[''],
paeonia-lactiflora-leaf-cell-extract,10,0.01,['antioxidant'],antioxidant
atractylodes-lancea-root-extract,10,0.01,[''],
silanetriol-trehalose-ether,10,0.01,['emollient'],emollient
anacyclus-pyrethrum-root-extract,10,0.01,[''],
garcinia-cambogia-fruit-extract,10,0.01,[''],
shea-butter-glycerides,10,0.01,"['emulsifying', 'surfactant/cleansing', 'viscosity controlling']",emulsifying
pentapeptide-59,10,0.01,[''],
behenoxy-dimethicone,10,0.01,['emollient'],emollient
saccharomyces-nelumbo-nucifera-ferment-extract-filtrate,10,0.01,['antioxidant'],antioxidant
sophora-japonica-root-extract,10,0.01,[''],
stephania-tetrandra-root-extract,10,0.01,[''],
isoamyl-acetate,10,0.01,['solvent'],solvent
eryngium-alpinum-flower-extract,10,0.01,[''],
gossypium-herbaceum-callus-culture,10,0.01,[''],
rosmarinus-officinalis-flower-oil,10,0.01,['perfuming'],perfuming
hordeum-vulgare-cera,10,0.01,['emollient'],emollient
hydrogenated-retinol,10,0.01,[''],
oleyl-lactate,10,0.01,['emollient'],emollient
papaver-rhoeas-flower-extract,10,0.01,[''],
loess,10,0.01,[''],
punica-granatum-peel-extract,10,0.01,['antioxidant'],antioxidant
rosa-mosqueta-fruit-oil,10,0.01,[''],
fruit-stem-cells-and-bioactive-8-berry-complex,10,0.01,[''],
trioxaundecanedioic-acid,10,0.01,['moisturizer/humectant'],moisturizer/humectant
acetyl-tyrosinamide,10,0.01,[''],
magnolia-grandiflora-leaf-extract,10,0.01,[''],
acetyl-dipeptide-3-aminohexanoate,10,0.01,[''],
sunflower,10,0.01,[''],
gleditsia-triacanthos-seed-extract,10,0.01,[''],
abies-balsamea-extract,10,0.01,['perfuming'],perfuming
phormium-tenax-seed-oil,10,0.01,[''],
lavandula-angustifolia-distillate,10,0.01,[''],
potassium-acrylates-c10-30-alkyl-acrylate-crosspolymer,10,0.01,['viscosity controlling'],viscosity controlling
peg-ppg-20-20-dimethicone,10,0.01,['emulsifying'],emulsifying
shea-butter-oleyl-esters,10,0.01,[''],
shea-butter-glycereth-8-esters,10,0.01,"['surfactant/cleansing', 'emulsifying', 'surfactant/cleansing']",surfactant/cleansing
emblica-officinalis-fruit-powder,10,0.01,[''],
hydrocortisone,10,0.01,[''],
galium-aparine-extract,10,0.01,[''],
basic-red-51,10,0.01,['colorant'],colorant
sulfated-castor-oil,10,0.01,"['surfactant/cleansing', 'emulsifying', 'moisturizer/humectant']",surfactant/cleansing
disodium-iodide,10,0.01,['antimicrobial/antibacterial'],antimicrobial/antibacterial
myrica-cerifera-fruit-extract,10,0.01,['moisturizer/humectant'],moisturizer/humectant
linum-alpinum-flower-leaf-stem-extract,10,0.01,[''],
zingiber-officinale-root,10,0.01,[''],
oyster-shell-extract,10,0.01,[''],
hexyl-salicylate,10,0.01,['perfuming'],perfuming
solanum-aviculare-fruit-extract,10,0.01,[''],
palmamidopropyl-trimonium-methosulfate,10,0.01,[''],
behenamidopropyltrimonium-methosulfate,10,0.01,[''],
babassuamidopropyltrimonium-methosulfate,10,0.01,"['emulsifying', 'surfactant/cleansing']",emulsifying
methyl-soyate,10,0.01,['emollient'],emollient
o-phenylphenol,10,0.01,['preservative'],preservative
evening-primrose-oil-palm-oil-aminopropanediol-esters,10,0.01,[''],
hydrogenated-rice-bran-oil,10,0.01,[''],
choleth-10,10,0.01,"['emulsifying', 'surfactant/cleansing']",emulsifying
pueraria-lobata-symbiosome-extract,10,0.01,['antioxidant'],antioxidant
tetrapeptide-4,10,0.01,[''],
moringa-oleifera-extract,10,0.01,[''],
sodium-acrylates-crosspolymer,10,0.01,['viscosity controlling'],viscosity controlling
hydrolyzed-tomato-skin,10,0.01,[''],
vaccinium-macrocarpon-seed,10,0.01,['abrasive/scrub'],abrasive/scrub
caprylyl-trimethicone,10,0.01,[''],
ci-13015,10,0.01,[''],
musa-sapientum-leaf-extract,10,0.01,[''],
tilia-cordata-wood-extract,10,0.01,['soothing'],soothing
lilium-candidum-flower-water,10,0.01,[''],
methyl-methacrylate-peg-ppg-4-3-methacrylate-crosspolymer,10,0.01,[''],
hypericum-erectum-flower-leaf-stem-extract,10,0.01,[''],
disodium-deceth-6-sulfosuccinate,10,0.01,['surfactant/cleansing'],surfactant/cleansing
acetyl-decapeptide-3,10,0.01,[''],
convallaria-majalis-extract,10,0.01,[''],
pavlova-lutheri-extract,10,0.01,[''],
propylene-glycol-isoceteth-3-acetate,10,0.01,[''],
actinidia-arguta-fruit-extract,10,0.01,[''],
papaver-rhoeas-extract,10,0.01,['emollient'],emollient
hydrolyzed-placental-protein,10,0.01,['moisturizer/humectant'],moisturizer/humectant
dimethicone-peg-7-isostearate,10,0.01,['emollient'],emollient
vitis-vinifera-vine-sap,10,0.01,[''],
oak-root-extract,10,0.01,[''],
allium-sativum-extract,10,0.01,[''],
sodium-c14-16-alpha-olefin-sulfonate,10,0.01,[''],
spirodela-polyrrhiza-extract,10,0.01,[''],
lotus-corniculatus-flower-extract,10,0.01,[''],
lamium-album-extract,10,0.01,[''],
2-aminobutanol,10,0.01,['buffering'],buffering
frangula-alnus-bark-extract,10,0.01,[''],
methylene-glycol,10,0.01,[''],
adenine,10,0.01,[''],
macadamia-seed-oil-glycereth-8-esters,10,0.01,[''],
amniotic-fluid,10,0.01,['moisturizer/humectant'],moisturizer/humectant
myrocarpus-fastigiatus-oil,10,0.01,[''],
tetrasodium-tetracarboxymethyl-naringeninchalcone,10,0.01,['soothing'],soothing
hydrogenated-c12-18-triglycerides,10,0.01,['emollient'],emollient
piperonyl-glucose,10,0.01,['soothing'],soothing
ethyl-ester-of-hydrolyzed-silk,10,0.01,[''],
convallaria-majalis-bulb-root-extract,10,0.01,[''],
colorant,10,0.01,[''],
trisodium-nta,10,0.01,['chelating'],chelating
sodium-acrylate-acrylonitrogens-copolymer,10,0.01,['viscosity controlling'],viscosity controlling
coffea-canephora-seed-extract,10,0.01,['emollient'],emollient
amomum-xanthioides-seed-extract,10,0.01,[''],
citrus-aurantium-sinensis-peel-extract,10,0.01,[''],
artemisia-herba-alba-oil,10,0.01,[''],
starch,10,0.01,[''],
maltodextrin-vp-copolymer,10,0.01,[''],
beta-vulgaris,10,0.01,['colorant'],colorant
echinacea-purpurea-flower-leaf-stem-extract,10,0.01,[''],
pisum-sativum-seed-extract,10,0.01,[''],
bis-ethoxydiglycol-succinate,10,0.01,"['moisturizer/humectant', 'solvent']",moisturizer/humectant
sodium-carboxymethyl-hyaluronate,10,0.01,['moisturizer/humectant'],moisturizer/humectant
oryza-sativa-phytoceramide,10,0.01,[''],
peg-2-dimeadowfoamamidoethylmonium-methosulfate,10,0.01,[''],
dromiceius-oil,10,0.01,['emollient'],emollient
peg-crosspolymer,10,0.01,[''],
platanus-occidentalis-bark-extract,10,0.01,[''],
aronia-arbutifolia-fruit-extract,10,0.01,[''],
phenethyl-dimethicone,10,0.01,['emollient'],emollient
lauryl-phosphate,10,0.01,['emulsifying'],emulsifying
hibiscus-rosa-sinensis-flower-leaf-extract,10,0.01,[''],
arachidyl-behenate,10,0.01,"['emollient', 'viscosity controlling']",emollient
carex-humillis-root-extract,10,0.01,[''],
psidium-guajava-seed-oil,10,0.01,['emollient'],emollient
rhodiola-sacra-root-extract,10,0.01,['emollient'],emollient
fagus-sylvatica-extract,10,0.01,[''],
hydrolyzed-caviar-extract,10,0.01,[''],
ligustrum-japonicum-fruit-extract,10,0.01,[''],
ethyltrimonium-chloride-methacrylate-hydrolyzed-wheat-protein-copolymer,10,0.01,[''],
betula-alleghaniensis-bark-extract,10,0.01,[''],
sorbeth-30,10,0.01,"['emulsifying', 'moisturizer/humectant', 'solvent', 'viscosity controlling']",emulsifying
c12-15-pareth-3,10,0.01,"['emulsifying', 'surfactant/cleansing']",emulsifying
polyglyceryl-6-isostearate,10,0.01,['emulsifying'],emulsifying
santalum-paniculatum-wood-oil,10,0.01,[''],
cocamide,10,0.01,"['emulsifying', 'surfactant/cleansing', 'viscosity controlling']",emulsifying
vinyl-dimethicone-lauryl-dimethicone-crosspolymer,10,0.01,"['surfactant/cleansing', 'viscosity controlling']",surfactant/cleansing
abyssinian-oil,10,0.01,[''],
hovenia-dulcis-fruit-extract,10,0.01,[''],
acrylonitrile,10,0.01,[''],
myrica-cerifera-leaf-extract,10,0.01,[''],
amylodextrin,10,0.01,[''],
methyl-undecenoyl-leucinate,10,0.01,[''],
artocarpus-lakoocha-wood-extract,10,0.01,"['antimicrobial/antibacterial', 'antioxidant', 'skin brightening']",antimicrobial/antibacterial
kluyveromyces-extract,10,0.01,[''],
uriage-thermal-spring-water,10,0.01,[''],
grifola-frondosa-extract,10,0.01,[''],
illipe-butter,10,0.01,[''],
lauryl-dimethicone,10,0.01,[''],
manihot-utilissima-starch,10,0.01,['soothing'],soothing
olivem-1000,10,0.01,['emulsifying'],emulsifying
larrea-tridentata-extract,10,0.01,[''],
palmitic-stearic-acid,10,0.01,[''],
hydrolyzed-proanthocyanidin,10,0.01,"['antioxidant', 'emollient', 'moisturizer/humectant']",antioxidant
arthrospira-extract,10,0.01,[''],
hydroxydecyl-ubiquinoyl-dipalmitoyl-glycerate,10,0.01,[''],
ppg-2-deceth-12,10,0.01,"['emulsifying', 'surfactant/cleansing']",emulsifying
mother-of-pearl,10,0.01,['abrasive/scrub'],abrasive/scrub
pinus-koraiensis-seed-oil,10,0.01,['perfuming'],perfuming
quercus-petraea-fruit-extract,10,0.01,[''],
hydrolyzed-brassica-napus-seedcake-extract,10,0.01,[''],
fuscoporia-obliqua-sclerotium-extract,10,0.01,[''],
epilobium-fleischeri-flower-leaf-stem-extract,10,0.01,[''],
c12-14-alkyl-benzoate,10,0.01,[''],
lactobacillus-arundinaria-gigantea-leaf-ferment-filtrate,10,0.01,[''],
cocodimonium-hydroxypropyl-hydrolyzed-rice-protein,10,0.01,[''],
peg-30,10,0.01,[''],
betula-pendula-sap,10,0.01,[''],
oryza-sativa-seed-extract,10,0.01,[''],
soybean-peroxidase,10,0.01,['antioxidant'],antioxidant
yucca-vera-flower-extract,10,0.01,[''],
citrus-limon-leaf-cell-extract,10,0.01,[''],
combretum-farinosum-flower-nectar,10,0.01,[''],
glycol-cetearate,10,0.01,"['emollient', 'emulsifying']",emollient
lactobacillus-honeysuckle-flower-licorice-root-morus-alba-root-pueraria-lobata-root-schisandra-chinensis-fruit-scutellaria-baicalensis-root-sophora-japonica-flower-extract-ferment-filtrate,10,0.01,[''],
dioscorea-panthaica-root-extract,10,0.01,"['emollient', 'moisturizer/humectant']",emollient
tetraselmis-suecica-extract,10,0.01,[''],
sodium-tetrahydrojasmonate,10,0.01,['abrasive/scrub'],abrasive/scrub
rubus-arcticus-callus-extract,10,0.01,"['antimicrobial/antibacterial', 'antioxidant', 'moisturizer/humectant']",antimicrobial/antibacterial
phenylisohexanol,10,0.01,[''],
agaricus-blazei-extract,10,0.01,[''],
adenophora-stricta-root-extract,10,0.01,['moisturizer/humectant'],moisturizer/humectant
saccharomyces-panax-ginseng-root-ferment-filtrate,10,0.01,[''],
porphyra-tenera-extract,10,0.01,[''],
diplazium-sibiricum-leaf-stem-extract,10,0.01,['moisturizer/humectant'],moisturizer/humectant
apricot-kernel-oil-polyglyceryl-6-esters,10,0.01,"['emollient', 'emulsifying', 'surfactant/cleansing']",emollient
pentapeptide-31,10,0.01,[''],
dimocarpus-longan-fruit-extract,10,0.01,[''],
methyl-eugenol,9,0.01,['perfuming'],perfuming
ascophyllum-nodosum-powder,9,0.01,[''],
cucurbita-pepo-powder,9,0.01,[''],
sambucus-canadensis-extract,9,0.01,[''],
peg-450,9,0.01,['solvent'],solvent
citrus-aurantium,9,0.01,[''],
diglyceryl-sebacate-isopalmitate,9,0.01,['emollient'],emollient
glyceryl-ethylhexanoate-stearate-adipate,9,0.01,['emollient'],emollient
