ingredient,count,used %,effects,main effect
cyclohexasiloxane,2615,3.4,"['emollient', 'solvent']",emollient
cetearyl-glucoside,2610,3.39,"['emulsifying', 'surfactant/cleansing']",emulsifying
cucumis-sativus-fruit-extract,2605,3.38,"['soothing', 'emollient']",soothing
sodium-laureth-sulfate,2591,3.36,"['surfactant/cleansing', 'emulsifying']",surfactant/cleansing
ethylhexyl-palmitate,2566,3.33,"['emollient', 'perfuming']",emollient
dimethiconol,2564,3.33,"['emollient', 'moisturizer/humectant']",emollient
urea,2559,3.32,"['skin-identical ingredient', 'moisturizer/humectant']",skin-identical ingredient
cetearyl-olivate,2522,3.28,['emulsifying'],emulsifying
sorbitan-isostearate,2493,3.24,['emulsifying'],emulsifying
methylpropanediol,2486,3.23,['solvent'],solvent
bis-ethylhexyloxyphenol-methoxyphenyl-triazine,2463,3.2,['sunscreen'],sunscreen
kaolin,2461,3.2,"['colorant', 'abrasive/scrub']",colorant
ci-77492,2461,3.2,['colorant'],colorant
benzyl-benzoate,2406,3.12,"['solvent', 'perfuming', 'antimicrobial/antibacterial']",solvent
caffeine,2398,3.11,"['antioxidant', 'perfuming']",antioxidant
calendula-officinalis-flower-extract,2398,3.11,"['soothing', 'antioxidant', 'perfuming']",soothing
dimethicone-vinyl-dimethicone-crosspolymer,2377,3.09,['viscosity controlling'],viscosity controlling
ci-77499,2374,3.08,['colorant'],colorant
ceteareth-20,2370,3.08,"['emulsifying', 'surfactant/cleansing']",emulsifying
coumarin,2363,3.07,['perfuming'],perfuming
cholesterol,2340,3.04,"['skin-identical ingredient', 'emollient']",skin-identical ingredient
sodium-ascorbyl-phosphate,2333,3.03,"['antioxidant', 'anti-acne']",antioxidant
glucose,2331,3.03,['moisturizer/humectant'],moisturizer/humectant
triethoxycaprylylsilane,2275,2.95,[''],
potassium-cetyl-phosphate,2246,2.92,"['emulsifying', 'surfactant/cleansing']",emulsifying
aluminum-hydroxide,2242,2.91,"['emollient', 'moisturizer/humectant', 'viscosity controlling']",emollient
isopropyl-myristate,2227,2.89,"['emollient', 'perfuming']",emollient
